Model Type,Test Type,Voltage,Turns,Added Mass,Drag Coefficient,Starting Distance of Tip From Coil 1,Coil 2 Distance Threshold,Coil 3 Distance Threshold,Coil 1 Duration,Coil 2 Duration,Coil 3 Duration,Coil 1-2 Delay,Coil 2-3 Delay,Max Velocity,Exit Velocity
actual,Submerged,165,actual,416.6666667,2.92762,0,1.75,2,76,58,53,18,7.5,54.54951712,33.18119062
actual,Submerged,165,actual,833.3333333,2.92762,0,1.75,2,102.5,75.5,65.5,24,9.5,44.26993096,32.69982597
actual,Submerged,165,actual,1250,2.92762,0,1.75,2,126,93,79,30,11.5,37.03346712,29.60960688
actual,Submerged,165,actual,1666.666667,2.92762,0,1.75,2,148.5,110.5,92.5,36,13.5,31.65611127,26.35863215
actual,Submerged,165,actual,2083.333333,2.92762,0,1.75,2,170.5,128.5,107,42,15.5,27.43537132,23.36864432
actual,Submerged,165,actual,2500,2.92762,0,1.75,2,192,147,121.5,49,18,24.02436606,20.69255069
actual,Submerged,165,actual,2916.666667,2.92762,0,1.75,2,213.5,166.5,138.5,56,20.5,21.08223283,18.22058046
actual,Submerged,165,actual,3333.333333,2.92762,0,1.75,2,235,187.5,156,63.5,23.5,18.60037342,16.01763185
actual,Submerged,165,actual,3750,2.92762,0,1.75,2,257.5,211,177,71,26.5,16.34938359,13.91313604
actual,Submerged,165,actual,4166.666667,2.92762,0,1.75,2,280,236,200,80,30.5,14.34611897,11.94807196
actual,Submerged,165,actual,4583.333333,2.92762,0,1.75,2,304,265,229,89,34,12.46457432,9.986420472
actual,Submerged,165,actual,5000,2.92762,0,1.75,2,328.5,297,263,100,39.5,10.72917828,0.039925321
actual,Submerged,165,actual,5416.666667,2.92762,0,1.75,2,354,335.5,307.5,112.5,45.5,9.069717694,0.036968766
actual,Submerged,165,actual,5833.333333,2.92762,0,1.75,2,381.5,383,371,126.5,54.5,7.444933589,0.034419899
actual,Submerged,165,actual,6250,2.92762,0,1.75,2,410.5,444.5,-1065.5,143.5,67,5.845650986,0.032199833
actual,Submerged,165,actual,6666.666667,2.92762,0,1.75,2,442,531,-1225.5,163.5,89,4.908879418,0.030248801
actual,Submerged,165,actual,7083.333333,2.92762,0,1.75,2,476,680.5,-1496,190.5,149,4.162013795,0.028520693
actual,Submerged,165,actual,7500,2.92762,0,1.75,2,514.5,-742,1000,227.5,-1000,3.855240086,0.026979368
actual,Submerged,165,actual,7916.666667,2.92762,0,1.75,2,557,-844,1000,287,-1000,3.585080629,0.025596094
actual,Submerged,165,actual,8333.333333,2.92762,0,1.75,2,608.5,-1058.5,1000,450,-1000,3.338570895,0.024347748
actual,Submerged,165,actual,8750,2.92762,0,1.75,2,672.5,0,1000,-672.5,-1000,3.118243196,0.023215505
actual,Submerged,165,actual,9166.666667,2.92762,0,1.75,2,762,0,1000,-762,-1000,2.919341077,0.022183888
actual,Submerged,165,actual,9583.333333,2.92762,0,1.75,2,975,0,1000,-975,-1000,2.742888482,0.021240053
actual,Submerged,165,actual,10000,2.92762,0,1.75,2,0,1000,1000,-1000,-1000,2.580457885,0.020373254
Dry Run Batch Run,,,,,,,,,,,,,,,
actual,Dry,115,actual,0,2.92762,0,1.75,2,58,37.5,30.5,12,4.5,98.37756297,98.00514998
actual,Dry,115,actual,20,2.92762,0,1.75,2,61,40,32,13,4.5,92.92092943,92.56370278
actual,Dry,115,actual,40,2.92762,0,1.75,2,64.5,42,33.5,13.5,5,88.35766524,88.01093675
actual,Dry,115,actual,60,2.92762,0,1.75,2,67.5,44,35.5,14,5.5,84.09439811,83.74849044
actual,Dry,115,actual,80,2.92762,0,1.75,2,70.5,46.5,37,14.5,5.5,80.46382456,80.12104582
actual,Dry,115,actual,100,2.92762,0,1.75,2,73.5,48,38.5,15.5,6,77.17853706,76.84088345
actual,Dry,125,actual,0,2.92762,0,1.75,2,52.5,34,27.5,11,4,108.2653437,107.8939924
actual,Dry,125,actual,20,2.92762,0,1.75,2,55.5,36,29,11.5,4.5,102.4910074,102.1374951
actual,Dry,125,actual,40,2.92762,0,1.75,2,58.5,38,30.5,12,4.5,97.4653786,97.12371425
actual,Dry,125,actual,60,2.92762,0,1.75,2,61,40,32,13,4.5,92.91243348,92.57866421
actual,Dry,125,actual,80,2.92762,0,1.75,2,64,42,33.5,13,5,88.963155,88.63219592
actual,Dry,125,actual,100,2.92762,0,1.75,2,66.5,43.5,35,14,5,85.43219629,85.10753486
actual,Dry,135,actual,0,2.92762,0,1.75,2,48.5,31.5,25,9.5,3.5,118.3585472,117.9804725
actual,Dry,135,actual,20,2.92762,0,1.75,2,51,33,26.5,10.5,4,112.0914254,111.7370946
actual,Dry,135,actual,40,2.92762,0,1.75,2,53.5,35,28,11,4,106.5518246,106.2136962
actual,Dry,135,actual,60,2.92762,0,1.75,2,56,36.5,29,11.5,4.5,101.7147498,101.3858289
actual,Dry,135,actual,80,2.92762,0,1.75,2,58.5,38,30.5,12,4.5,97.41065413,97.0900503
actual,Dry,135,actual,100,2.92762,0,1.75,2,61,39.5,31.5,12.5,5,93.61368569,93.29840843
actual,Dry,145,actual,0,2.92762,0,1.75,2,44.5,29,23,9,3.5,128.2278357,127.8468402
actual,Dry,145,actual,20,2.92762,0,1.75,2,47,30.5,24.5,9.5,3.5,121.5263322,121.1703658
actual,Dry,145,actual,40,2.92762,0,1.75,2,49.5,32,26,10,3.5,115.6705909,115.3325478
actual,Dry,145,actual,60,2.92762,0,1.75,2,51.5,33,27,11,4,110.4965618,110.1713206
actual,Dry,145,actual,80,2.92762,0,1.75,2,54,35,28,11,4,105.9178508,105.6015234
actual,Dry,145,actual,100,2.92762,0,1.75,2,56,36.5,29,11.5,4.5,101.7873707,101.4771324
actual,Dry,155,actual,0,2.92762,0,1.75,2,41.5,26.5,21.5,8.5,3,138.2152134,137.8237678
actual,Dry,155,actual,20,2.92762,0,1.75,2,43.5,28,22.5,9,3.5,131.0528827,130.6931411
actual,Dry,155,actual,40,2.92762,0,1.75,2,46,29.5,24,9,3.5,124.8016658,124.4609238
actual,Dry,155,actual,60,2.92762,0,1.75,2,48,31,25,9.5,4,119.3199463,118.9882074
actual,Dry,155,actual,80,2.92762,0,1.75,2,50,32.5,26,10,4,114.3439807,114.0305086
actual,Dry,155,actual,100,2.92762,0,1.75,2,52,33.5,27.5,10.5,4,109.9032709,109.5871897
Submerged Batch Run,,,,,,,,,,,,,,,
actual,Submerged,115,actual,0,2.92762,0,1.75,2,65,62.5,67,18,8.5,45.16543642,9.296924681
actual,Submerged,115,actual,20,2.92762,0,1.75,2,68,63.5,67,18.5,9,44.1925676,10.59501159
actual,Submerged,115,actual,40,2.92762,0,1.75,2,71,65,67.5,19,9,43.22943462,11.78725954
actual,Submerged,115,actual,60,2.92762,0,1.75,2,74,66.5,68,19,9.5,42.25499956,12.82899315
actual,Submerged,115,actual,80,2.92762,0,1.75,2,76.5,68,69.5,20,9,41.58263272,13.76372635
actual,Submerged,115,actual,100,2.92762,0,1.75,2,79.5,69.5,70,20.5,9,41.08246793,14.61591949
actual,Submerged,125,actual,0,2.92762,0,1.75,2,59,56.5,60,16,8,50.11984055,10.55394716
actual,Submerged,125,actual,20,2.92762,0,1.75,2,61.5,58,61,16.5,7.5,48.9927145,11.96085783
actual,Submerged,125,actual,40,2.92762,0,1.75,2,64.5,59,61,16.5,8,47.98167635,13.26010245
actual,Submerged,125,actual,60,2.92762,0,1.75,2,67,59.5,61.5,17.5,8.5,47.04424455,14.45295617
actual,Submerged,125,actual,80,2.92762,0,1.75,2,69.5,61,62.5,18,8,46.36558801,15.50700242
actual,Submerged,125,actual,100,2.92762,0,1.75,2,72,62.5,63,18,8.5,45.84828467,16.44163404
actual,Submerged,135,actual,0,2.92762,0,1.75,2,54,51.5,55,14.5,7,55.05480634,11.71538094
